division_id,week_start,weekly_rain_mm,flood_presence,flood_frequency_4w
eastern,2015-08-10,22.829250633716583,0,0
eastern,2015-08-17,18.828510463237762,0,0
eastern,2015-08-24,7.11004900932312,0,0
eastern,2015-08-31,34.768331825733185,0,0
eastern,2015-09-07,0.8147188127040863,0,0
eastern,2015-09-14,26.506277412176132,0,0
eastern,2015-09-21,26.68316802382469,0,0
eastern,2015-09-28,5.022460490465164,0,0
eastern,2015-10-05,0.6151539087295532,0,0
eastern,2015-10-12,43.825629532337196,0,0
eastern,2015-10-19,3.33532178401947,0,0
eastern,2015-10-26,2.572920560836792,0,0
eastern,2015-11-02,0.0,0,0
eastern,2015-11-09,1.6085284948349,0,0
eastern,2015-11-16,61.52698802947998,0,0
eastern,2015-11-23,6.508700847625732,0,0
eastern,2015-11-30,1.8056246042251587,0,0
eastern,2015-12-07,1.9488919973373413,0,0
eastern,2015-12-14,29.98482719063759,0,0
eastern,2015-12-21,4.808860421180725,0,0
eastern,2015-12-28,169.45737147331238,1,1
eastern,2016-01-04,7.396357536315918,0,1
eastern,2016-01-11,0.0,0,1
eastern,2016-01-18,0.0,0,1
eastern,2016-01-25,0.0,0,0
eastern,2016-02-01,3.8961820006370544,0,0
eastern,2016-02-08,125.73646557331085,1,1
eastern,2016-02-15,147.4015789628029,1,2
eastern,2016-02-22,15.001345038414,0,2
eastern,2016-02-29,0.0,0,2
eastern,2016-03-07,0.0,0,1
eastern,2016-03-14,41.33848524093628,0,0
eastern,2016-03-21,12.165813535451889,0,0
eastern,2016-03-28,199.73810195922852,1,1
eastern,2016-04-04,154.38491463661194,1,2
eastern,2016-04-11,168.50657260417938,1,3
eastern,2016-04-18,0.0,0,3
eastern,2016-04-25,12.702964544296265,0,2
eastern,2016-05-02,20.47336381673813,0,1
eastern,2016-05-09,27.9615188986063,0,0
eastern,2016-05-16,2.025233507156372,0,0
eastern,2016-05-23,0.0,0,0
eastern,2016-05-30,12.257823884487152,0,0
eastern,2016-06-06,27.660037875175476,0,0
eastern,2016-06-13,0.0,0,0
eastern,2016-06-20,2.094476133584976,0,0
eastern,2016-06-27,17.101658821105957,0,0
eastern,2016-07-04,6.265129089355469,0,0
eastern,2016-07-11,6.122684717178345,0,0
eastern,2016-07-18,11.862724512815475,0,0
eastern,2016-07-25,23.812353134155273,0,0
eastern,2016-08-01,34.56628727912903,0,0
eastern,2016-08-08,0.0,0,0
eastern,2016-08-15,157.2505238056183,1,1
eastern,2016-08-22,0.0,0,1
eastern,2016-08-29,1.6385266780853271,0,1
eastern,2016-09-05,13.708921194076538,0,1
eastern,2016-09-12,12.014087438583374,0,0
eastern,2016-09-19,11.605677366256714,0,0
eastern,2016-09-26,9.318612575531006,0,0
eastern,2016-10-03,26.66318488121033,0,0
eastern,2016-10-10,75.59214198589325,0,0
eastern,2016-10-17,43.54259467124939,0,0
eastern,2016-10-24,26.25541639328003,0,0
eastern,2016-10-31,31.316176295280457,0,0
eastern,2016-11-07,44.35091549158096,0,0
eastern,2016-11-14,3.950843721628189,0,0
eastern,2016-11-21,10.23599910736084,0,0
eastern,2016-11-28,48.638755202293396,0,0
eastern,2016-12-05,16.792506456375122,0,0
eastern,2016-12-12,154.46235132217407,1,1
eastern,2016-12-19,43.22342711687088,0,1
eastern,2016-12-26,26.524448037147522,0,1
eastern,2017-01-02,81.1353879570961,0,1
eastern,2017-01-09,28.14748027920723,0,0
eastern,2017-01-16,3.2015333771705627,0,0
eastern,2017-01-23,9.615627646446228,0,0
eastern,2017-01-30,198.41664743423462,1,1
eastern,2017-02-06,330.54578769207,1,2
eastern,2017-02-13,27.596543788909912,0,2
eastern,2017-02-20,164.0353467464447,1,3
eastern,2017-02-27,232.56076836585999,1,3
eastern,2017-03-06,31.938499689102173,0,2
eastern,2017-03-13,6.896741390228272,0,2
eastern,2017-03-20,74.37621229887009,0,1
eastern,2017-03-27,73.60520952939987,0,0
eastern,2017-04-03,0.0,0,0
eastern,2017-04-10,0.0,0,0
eastern,2017-04-17,1.15140300989151,0,0
eastern,2017-04-24,22.36429822444916,0,0
eastern,2017-05-01,41.38627630472183,0,0
eastern,2017-05-08,0.0,0,0
eastern,2017-05-15,12.663510203361511,0,0
eastern,2017-05-22,43.08820176124573,0,0
eastern,2017-05-29,0.0,0,0
eastern,2017-06-05,15.534006476402284,0,0
eastern,2017-06-12,2.287465363740921,0,0
eastern,2017-06-19,19.010243624448776,0,0
eastern,2017-06-26,0.0,0,0
eastern,2017-07-03,0.0,0,0
eastern,2017-07-10,16.87940776348114,0,0
eastern,2017-07-17,22.988065361976624,0,0
eastern,2017-07-24,44.41949796676636,0,0
eastern,2017-07-31,12.289775073528288,0,0
eastern,2017-08-07,8.21689087152481,0,0
eastern,2017-08-14,42.58057552576065,0,0
eastern,2017-08-21,20.774808824062347,0,0
eastern,2017-08-28,14.827569425106049,0,0
eastern,2017-09-04,35.55630385875702,0,0
eastern,2017-09-11,9.633817076683044,0,0
eastern,2017-09-18,22.686366379261017,0,0
eastern,2017-09-25,32.998443961143494,0,0
eastern,2017-10-02,20.286632239818573,0,0
eastern,2017-10-09,0.0,0,0
eastern,2017-10-16,37.747367799282074,0,0
eastern,2017-10-23,91.0764057636261,1,1
eastern,2017-10-30,51.1757875084877,0,1
eastern,2017-11-06,21.303615391254425,0,1
eastern,2017-11-13,60.86335003376007,0,1
eastern,2017-11-20,39.37119859457016,0,0
eastern,2017-11-27,75.43138074874878,0,0
eastern,2017-12-04,19.577717006206512,0,0
eastern,2017-12-11,3.643251657485962,0,0
eastern,2017-12-18,0.0,0,0
northern,2013-12-30,15.23617085814476,0,0
northern,2014-01-06,13.243607156806522,0,0
northern,2014-01-13,10.504703654183283,0,0
northern,2014-01-20,3.8930205636554294,0,0
northern,2014-01-27,164.44771195782556,0,0
northern,2014-02-03,0.8875936402214897,0,0
northern,2014-02-10,191.06483160124884,0,0
northern,2014-02-17,85.8877771165636,0,0
northern,2014-02-24,152.4057496852345,0,0
northern,2014-03-03,14.70829321278466,0,0
northern,2014-03-10,120.30821637312572,0,0
northern,2014-03-17,16.008074853155346,0,0
northern,2014-03-24,168.77428605821396,0,0
northern,2014-03-31,57.78467741939757,0,0
northern,2014-04-07,91.39258454905615,0,0
northern,2014-04-14,0.1588728957706027,0,0
northern,2014-04-21,18.12989046176275,0,0
northern,2014-04-28,94.77382073137495,0,0
northern,2014-05-05,0.0,0,0
northern,2014-05-12,139.2025170723597,0,0
northern,2014-05-19,4.401446673605177,0,0
northern,2014-05-26,16.819316181871628,0,0
northern,2014-06-02,35.47710494200389,0,0
northern,2014-06-09,41.26779429117839,0,0
northern,2014-06-16,1.4560294681125217,0,0
northern,2014-06-23,0.5429355170991685,0,0
northern,2014-06-30,6.605906115637885,0,0
northern,2014-07-07,8.014692107836405,0,0
northern,2014-07-14,15.07832062906689,0,0
northern,2014-07-21,9.857490075959099,0,0
northern,2014-07-28,54.23871927791172,0,0
northern,2014-08-04,23.148166590266758,0,0
northern,2014-08-11,11.000518818696339,0,0
northern,2014-08-18,10.102719187736511,0,0
northern,2014-08-25,14.559982962078518,0,0
northern,2014-09-01,8.674450159072876,0,0
northern,2014-09-08,6.497586753633287,0,0
northern,2014-09-15,4.347262375884586,0,0
northern,2014-09-22,6.647007763385773,0,0
northern,2014-09-29,13.69519763522678,0,0
northern,2014-10-06,38.57536347707113,0,0
northern,2014-10-13,32.45707739724053,0,0
northern,2014-10-20,141.2537337674035,1,1
northern,2014-10-27,64.02173961533441,0,1
northern,2014-11-03,138.48571848869324,0,1
northern,2014-11-10,1.7614231506983438,0,1
northern,2014-11-17,60.9979630443785,0,0
northern,2014-11-24,5.298742420143551,0,0
northern,2014-12-01,90.96899049811893,0,0
northern,2014-12-08,55.124638517697655,0,0
northern,2014-12-15,69.50223943922255,0,0
northern,2014-12-22,6.634474224514431,0,0
northern,2014-12-29,5.161671969625685,0,0
northern,2015-01-05,57.30187454488542,0,0
northern,2015-01-12,59.50896665785048,0,0
northern,2015-01-19,26.105999800893997,0,0
northern,2015-01-26,6.192153808143404,0,0
northern,2015-02-02,49.36496637927161,0,0
northern,2015-02-09,120.88308670123418,1,1
northern,2015-02-16,175.84601725472345,1,2
northern,2015-02-23,111.75681534078386,0,2
northern,2015-03-02,7.656180527475145,0,2
northern,2015-03-09,206.54463251431784,1,2
northern,2015-03-16,95.46156675285764,0,1
northern,2015-03-23,0.3038285175959269,0,1
northern,2015-03-30,74.14568742116292,0,1
northern,2015-04-06,3.624922778871324,0,0
northern,2015-04-13,123.46798125902811,1,1
northern,2015-04-20,1.0239982340070937,0,1
northern,2015-04-27,15.348936650488112,0,1
northern,2015-05-04,99.04726843039194,0,1
northern,2015-05-11,0.0,0,0
northern,2015-05-18,0.0,0,0
northern,2015-05-25,16.093740569220646,0,0
northern,2015-06-01,0.3672621117697821,0,0
northern,2015-06-08,91.58374884393481,0,0
northern,2015-06-15,1.5252544747458563,0,0
northern,2015-06-22,2.519653651449416,0,0
northern,2015-06-29,4.290153476927014,0,0
northern,2015-07-06,21.64583358499739,0,0
northern,2015-07-13,0.4415362543529934,0,0
northern,2015-07-20,5.839137660132513,0,0
northern,2015-07-27,53.13678052690294,0,0
northern,2015-08-03,54.25073675314585,0,0
northern,2015-08-10,4.749737739562988,0,0
northern,2015-08-17,8.827407293849522,0,0
northern,2015-08-24,2.435527073012458,0,0
northern,2015-08-31,22.665094892183937,0,0
northern,2015-09-07,2.9170834753248425,0,0
northern,2015-09-14,14.027683244811165,0,0
northern,2015-09-21,19.340481407112545,0,0
northern,2015-09-28,0.3988448248969183,0,0
northern,2015-10-05,0.0,0,0
northern,2015-10-12,96.18758278422887,0,0
northern,2015-10-19,0.0,0,0
northern,2015-10-26,23.28845739364624,0,0
northern,2015-11-02,17.65332157082028,0,0
northern,2015-11-09,8.565389540460375,0,0
northern,2015-11-16,40.337541580200195,0,0
northern,2015-11-23,81.37789988517763,0,0
northern,2015-11-30,11.981945978270636,0,0
northern,2015-12-07,3.835706101523505,0,0
northern,2015-12-14,14.624826391537987,0,0
northern,2015-12-21,9.513248443603516,0,0
northern,2015-12-28,49.60390272405412,0,0
northern,2016-01-04,1.7056616081131828,0,0
northern,2016-01-11,9.358541826407116,0,0
northern,2016-01-18,2.9812486370404563,0,0
northern,2016-01-25,37.24837835629781,0,0
northern,2016-02-01,21.491957359843784,0,0
northern,2016-02-08,41.28102392620511,0,0
northern,2016-02-15,96.55940694279141,1,1
northern,2016-02-22,28.7384523484442,0,1
northern,2016-02-29,11.392913593186272,0,1
northern,2016-03-07,6.890676412317489,0,1
northern,2016-03-14,25.815486762258743,0,0
northern,2016-03-21,42.57093831565645,0,0
northern,2016-03-28,240.07405794991388,1,1
northern,2016-04-04,157.28444916009903,1,2
northern,2016-04-11,282.74398879210156,1,3
northern,2016-04-18,22.882094105084736,0,3
northern,2016-04-25,0.7944131493568418,0,2
northern,2016-05-02,2.3622186051474676,0,1
northern,2016-05-09,12.28648347987069,0,0
northern,2016-05-16,18.60823182264964,0,0
northern,2016-05-23,1.4229163063897028,0,0
northern,2016-05-30,0.0,0,0
northern,2016-06-06,44.48243798149957,0,0
northern,2016-06-13,1.9135999149746366,0,0
northern,2016-06-20,0.0,0,0
northern,2016-06-27,1.9398017194535997,0,0
northern,2016-07-04,0.4951860109965006,0,0
northern,2016-07-11,0.0,0,0
northern,2016-07-18,0.1146611107720269,0,0
northern,2016-07-25,128.61120891571045,1,1
northern,2016-08-01,3.547097086906433,0,1
northern,2016-08-08,3.6796001195907593,0,1
northern,2016-08-15,219.22150713867612,1,2
northern,2016-08-22,0.0,0,1
