division_id,date,cases
central,2016-07-11,4
central,2016-07-18,3
central,2016-07-25,6
central,2016-08-01,12
central,2016-08-08,1
central,2016-08-15,0
central,2016-08-22,6
central,2016-08-29,0
central,2016-09-05,2
central,2016-09-12,2
central,2016-09-19,1
central,2016-09-26,1
central,2016-10-03,0
central,2016-10-10,0
central,2016-10-17,0
central,2016-10-24,1
central,2016-10-31,0
central,2016-11-07,0
central,2016-11-14,3
central,2016-11-21,3
central,2016-11-28,1
central,2016-12-05,1
central,2016-12-12,0
central,2016-12-19,1
central,2016-12-26,1
central,2017-01-01,1
central,2017-01-02,5
central,2017-01-09,3
central,2017-01-16,2
central,2017-01-23,6
central,2017-01-30,6
central,2017-02-06,2
central,2017-02-13,8
central,2017-02-20,19
central,2017-02-27,18
central,2017-03-06,15
central,2017-03-13,14
central,2017-03-20,19
central,2017-03-27,9
central,2017-04-03,9
central,2017-04-10,23
central,2017-04-17,16
central,2017-04-24,12
central,2017-05-01,29
central,2017-05-08,12
central,2017-05-15,21
central,2017-05-22,12
central,2017-05-29,3
central,2017-06-05,9
central,2017-06-12,4
central,2017-06-19,4
central,2017-06-26,0
central,2017-07-03,0
central,2017-07-10,1
central,2017-07-17,1
central,2017-07-24,0
central,2017-07-31,0
central,2017-08-07,3
central,2017-08-14,1
central,2017-08-21,2
central,2017-08-28,0
central,2017-09-04,2
central,2017-09-11,4
central,2017-09-18,1
central,2017-09-25,0
central,2017-10-02,3
central,2017-10-09,0
central,2017-10-16,1
central,2017-10-23,2
central,2017-10-30,2
central,2017-11-06,5
central,2017-11-13,1
central,2017-11-20,3
central,2017-11-27,1
central,2017-12-04,0
central,2017-12-11,1
central,2017-12-18,5
western,2006-01-02,1
western,2006-01-09,1
western,2006-01-16,0
western,2006-01-23,0
western,2006-01-30,1
western,2006-02-06,0
western,2006-02-13,2
western,2006-02-20,0
western,2006-02-27,0
western,2006-03-06,0
western,2006-03-13,1
western,2006-03-20,3
western,2006-03-27,0
western,2006-04-03,1
western,2006-04-10,0
western,2006-04-17,0
western,2006-04-24,1
western,2006-05-01,1
western,2006-05-08,0
western,2006-05-15,3
western,2006-05-22,2
western,2006-05-29,0
western,2006-06-05,0
western,2006-06-12,4
western,2006-06-19,1
western,2006-06-26,0
western,2006-07-03,0
western,2006-07-10,4
western,2006-07-17,1
western,2006-07-24,0
western,2006-07-31,2
western,2006-08-07,0
western,2006-08-14,0
western,2006-08-21,0
western,2006-08-28,0
western,2006-09-04,0
western,2006-09-11,1
western,2006-09-18,0
western,2006-09-25,0
western,2006-10-02,1
western,2006-10-09,0
western,2006-10-16,0
western,2006-10-23,0
western,2006-10-30,0
western,2006-11-06,0
western,2006-11-13,0
western,2006-11-20,0
western,2006-11-27,0
western,2006-12-04,0
western,2006-12-11,0
western,2006-12-18,0
western,2007-01-01,0
western,2007-01-08,0
western,2007-01-15,2
western,2007-01-22,1
western,2007-01-29,2
western,2007-02-05,3
western,2007-02-12,3
western,2007-02-19,0
western,2007-02-26,1
western,2007-03-05,0
western,2007-03-12,9
western,2007-03-19,10
western,2007-03-26,6
western,2007-04-02,1
western,2007-04-09,6
western,2007-04-16,2
western,2007-04-23,0
western,2007-04-30,0
western,2007-05-07,0
western,2007-05-14,4
western,2007-05-21,1
western,2007-05-28,2
western,2007-06-04,1
western,2007-06-11,3
western,2007-06-18,0
western,2007-06-25,0
western,2007-07-02,4
western,2007-07-09,1
western,2007-07-16,0
western,2007-07-23,0
western,2007-07-30,2
western,2007-08-06,0
western,2007-08-13,4
western,2007-08-20,1
western,2007-08-27,0
western,2007-09-03,2
western,2007-09-10,1
western,2007-09-17,0
western,2007-09-24,0
western,2007-10-01,0
western,2007-10-08,0
western,2007-10-15,0
western,2007-10-22,0
western,2007-10-29,1
western,2007-11-05,2
western,2007-11-12,2
western,2007-11-19,0
western,2007-11-26,1
western,2007-12-03,0
western,2007-12-10,0
western,2007-12-17,0
western,2007-12-24,0
western,2008-01-01,0
western,2008-01-07,0
western,2008-01-14,1
western,2008-01-21,4
western,2008-01-28,1
western,2008-02-04,0
western,2008-02-11,2
western,2008-02-18,0
western,2008-02-25,0
western,2008-03-03,0
western,2008-03-10,0
western,2008-03-17,0
western,2008-03-24,0
western,2008-03-31,0
western,2008-04-07,0
western,2008-04-14,0
western,2008-04-21,0
western,2008-04-28,0
western,2008-05-05,0
western,2008-05-12,0
western,2008-05-19,0
western,2008-05-26,0
western,2008-06-02,0
western,2008-06-09,0
western,2008-06-16,0
western,2008-06-23,0
western,2008-06-30,0
western,2008-07-07,0
western,2008-07-14,0
western,2008-07-21,0
western,2008-07-28,0
western,2008-08-04,0
western,2008-08-11,0
western,2008-08-18,0
western,2008-08-25,0
western,2008-09-01,0
western,2008-09-08,0
western,2008-09-15,0
western,2008-09-22,0
western,2008-09-29,0
western,2008-10-06,0
western,2008-10-13,0
western,2008-10-20,0
western,2008-10-27,0
western,2008-11-03,0
western,2008-11-10,0
western,2008-11-17,0
western,2008-11-24,0
western,2008-12-01,0
western,2008-12-08,0
western,2008-12-15,0
western,2008-12-22,0
western,2009-01-01,0
western,2009-01-05,0
western,2009-01-12,0
western,2009-01-19,2
western,2009-01-26,5
western,2009-02-02,5
western,2009-02-09,1
western,2009-02-16,1
western,2009-02-23,0
western,2009-03-02,0
western,2009-03-09,2
western,2009-03-16,0
western,2009-03-23,0
western,2009-03-30,0
western,2009-04-06,0
western,2009-04-13,2
western,2009-04-20,0
western,2009-04-27,1
western,2009-05-04,0
western,2009-05-11,0
western,2009-05-18,0
western,2009-05-25,0
western,2009-06-01,0
western,2009-06-08,0
western,2009-06-15,0
western,2009-06-22,0
western,2009-06-29,0
western,2009-07-06,0
western,2009-07-13,0
western,2009-07-20,0
western,2009-07-27,0
western,2009-08-03,0
western,2009-08-10,0
western,2009-08-17,0
western,2009-08-24,0
western,2009-08-31,0
western,2009-09-07,0
western,2009-09-14,0
western,2009-09-21,0
western,2009-09-28,0
western,2009-10-05,0
western,2009-10-12,0
western,2009-10-19,0
western,2009-10-26,0
western,2009-11-02,0
western,2009-11-09,0
western,2009-11-16,0
western,2009-11-23,0
western,2009-11-30,0
western,2009-12-07,0
western,2009-12-14,0
western,2009-12-21,0
western,2010-01-04,0
western,2010-01-11,0
western,2010-01-18,0
western,2010-01-25,0
western,2010-02-01,0
western,2010-02-08,0
western,2010-02-15,0
western,2010-02-22,0
western,2010-03-01,0
western,2010-03-08,0
western,2010-03-15,0
western,2010-03-22,0
western,2010-03-29,0
western,2010-04-05,0
western,2010-04-12,0
western,2010-04-19,1
western,2010-04-26,0
western,2010-05-03,0
western,2010-05-10,0
western,2010-05-17,0
western,2010-05-24,0
western,2010-05-31,0
western,2010-06-07,0
western,2010-06-14,0
western,2010-06-21,0
western,2010-06-28,0
western,2010-07-05,0
western,2010-07-12,0
western,2010-07-19,0
western,2010-07-26,0
western,2010-08-02,0
western,2010-08-09,0
western,2010-08-16,0
western,2010-08-23,0
western,2010-08-30,1
western,2010-09-06,0
western,2010-09-13,0
western,2010-09-20,0
western,2010-09-27,0
western,2010-10-04,0
western,2010-10-11,0
western,2010-10-18,0
western,2010-10-25,0
western,2010-11-01,0
western,2010-11-08,0
western,2010-11-15,0
western,2010-11-22,0
western,2010-11-29,0
western,2010-12-06,0
western,2010-12-13,0
western,2010-12-20,0
western,2010-12-27,0
western,2011-01-01,0
western,2011-01-03,0
western,2011-01-10,0
western,2011-01-17,0
western,2011-01-24,0
western,2011-01-31,0
western,2011-02-07,1
western,2011-02-14,0
western,2011-02-21,0
western,2011-02-28,3
western,2011-03-07,0
western,2011-03-14,1
western,2011-03-21,2
western,2011-03-28,2
western,2011-04-04,0
western,2011-04-11,1
western,2011-04-18,3
western,2011-04-25,1
western,2011-05-02,0
western,2011-05-09,0
western,2011-05-16,1
western,2011-05-23,0
western,2011-05-30,1
western,2011-06-06,0
western,2011-06-13,1
western,2011-06-20,0
western,2011-06-27,0
western,2011-07-04,1
western,2011-07-11,0
western,2011-07-18,0
western,2011-07-25,0
western,2011-08-01,0
western,2011-08-08,0
western,2011-08-15,0
western,2011-08-22,0
western,2011-08-29,0
western,2011-09-05,0
western,2011-09-12,0
western,2011-09-19,0
western,2011-09-26,0
western,2011-10-03,0
western,2011-10-10,0
western,2011-10-17,0
western,2011-10-24,1
western,2011-10-31,0
western,2011-11-07,1
western,2011-11-14,0
western,2011-11-21,0
western,2011-11-28,2
western,2011-12-05,0
western,2011-12-12,0
western,2011-12-19,0
