train_end,test_start,test_end,auc,pr_auc,hit_rate,false_alarm_rate,n_test
2008-12-02,2008-12-09,2008-12-30,0.7142857142857142,0.2875,0.5,0.14285714285714285,9
2008-12-09,2008-12-16,2009-01-06,0.7777777777777779,0.6555555555555556,0.6666666666666666,0.3333333333333333,9
2008-12-16,2008-12-30,2009-01-13,0.35,0.5717460317460317,0.4,0.5,9
2008-12-30,2009-01-06,2009-01-20,0.16666666666666666,0.5924603174603175,0.0,0.0,9
2009-01-06,2009-01-13,2009-01-27,0.21428571428571427,0.7075963718820861,0.0,0.0,9
2009-01-13,2009-01-20,2009-02-03,0.14285714285714285,0.6837868480725624,0.0,0.0,9
2009-01-20,2009-01-27,2009-02-10,0.21428571428571427,0.7075963718820861,0.0,0.0,9
2009-01-27,2009-02-03,2009-02-17,0.42857142857142855,0.6774943310657596,0.0,0.0,9
2009-02-03,2009-02-10,2009-02-24,0.4444444444444445,0.6704365079365079,0.0,0.0,9
2009-02-10,2009-02-17,2009-03-03,0.6111111111111112,0.794047619047619,0.16666666666666666,0.0,9
2009-02-17,2009-02-24,2009-03-10,0.22222222222222224,0.510515873015873,0.0,0.0,9
2009-02-24,2009-03-03,2009-03-17,0.6666666666666667,0.6630952380952381,0.16666666666666666,0.3333333333333333,9
2009-03-03,2009-03-10,2009-03-24,0.75,0.6266666666666666,0.2,0.25,9
2009-03-10,2009-03-17,2009-03-31,0.75,0.6266666666666666,0.8,0.25,9
2009-03-17,2009-03-24,2009-04-07,0.0,0.5647392290249433,0.14285714285714285,1.0,9
2009-03-24,2009-03-31,2009-04-14,0.14285714285714285,0.6837868480725624,0.0,0.0,9
2009-03-31,2009-04-07,2009-04-21,0.875,0.9852430555555556,0.625,0.0,9
2009-04-07,2009-04-14,2009-04-28,0.7777777777777778,0.8873015873015874,0.8333333333333334,0.3333333333333333,9
2009-04-14,2009-04-21,2009-05-05,0.7777777777777779,0.9104166666666667,0.8333333333333334,0.3333333333333333,9
2009-04-21,2009-04-28,2009-05-12,0.85,0.8839285714285714,1.0,0.8,9
2009-04-28,2009-05-05,2009-05-19,0.8333333333333333,0.8166666666666667,1.0,0.6666666666666666,9
2009-05-05,2009-05-12,2009-05-26,1.0,1.0,1.0,0.375,9
2009-05-12,2009-05-19,2009-06-02,,,,0.2222222222222222,9
2009-05-19,2009-05-26,2009-06-09,,,,0.4444444444444444,9
2009-05-26,2009-06-02,2009-06-16,,,,0.3333333333333333,9
2009-06-02,2009-06-09,2009-06-23,,,,0.0,9
2009-06-09,2009-06-16,2009-06-30,,,,0.0,9
2009-06-16,2009-06-23,2009-07-07,,,,0.0,9
2009-06-23,2009-06-30,2009-07-14,,,,0.0,9
